industry,num_code,full_code,index
可选消费,001300,SZ001300,SH000073
工业,001301,SZ001301,SH000072
可选消费,001306,SZ001306,SH000073
信息技术,001308,SZ001308,SH000077
信息技术,001309,SZ001309,SH000077
可选消费,001311,SZ001311,SH000073
主要消费,001313,SZ001313,SH000074
信息技术,001314,SZ001314,SH000077
工业,001316,SZ001316,SH000072
工业,001317,SZ001317,SH000072
主要消费,001318,SZ001318,SH000074
可选消费,001319,SZ001319,SH000073
可选消费,001322,SZ001322,SH000073
可选消费,001323,SZ001323,SH000073
工业,001324,SZ001324,SH000072
信息技术,001326,SZ001326,SH000077
主要消费,001328,SZ001328,SH000074
通信服务,001330,SZ001330,SH000078
能源,001331,SZ001331,SH000070
工业,001332,SZ001332,SH000072
原材料,001333,SZ001333,SH000071
工业,001335,SZ001335,SH000072
工业,001336,SZ001336,SH000072
原材料,001337,SZ001337,SH000071
主要消费,001338,SZ001338,SH000074
信息技术,001339,SZ001339,SH000077
可选消费,001356,SZ001356,SH000073
原材料,001358,SZ001358,SH000071
工业,001359,SZ001359,SH000072
工业,001360,SZ001360,SH000072
主要消费,001366,SZ001366,SH000074
医药卫生,001367,SZ001367,SH000075
可选消费,001368,SZ001368,SH000073
信息技术,001373,SZ001373,SH000077
公用事业,001376,SZ001376,SH000079
原材料,001378,SZ001378,SH000071
工业,001379,SZ001379,SH000072
可选消费,001380,SZ001380,SH000073
工业,001382,SZ001382,SH000072
可选消费,001387,SZ001387,SH000073
工业,001388,SZ001388,SH000072
信息技术,001389,SZ001389,SH000077
可选消费,001390,SZ001390,SH000073
工业,001391,SZ001391,SH000072
工业,001395,SZ001395,SH000072
房地产,0014.HK,SZ0014.HK,SZ399965
工业,001400,SZ001400,SH000072
房地产,0016.HK,SZ0016.HK,SZ399965
工业,001696,SZ001696,SH000072
房地产,0017.HK,SZ0017.HK,SZ399965
通信服务,0018.HK,SZ0018.HK,SH000078
工业,001872,SZ001872,SH000072
公用事业,001896,SZ001896,SH000079
工业,0019.HK,SZ0019.HK,SH000072
房地产,001914,SZ001914,SZ399965
工业,001965,SZ001965,SH000072
房地产,001979,SZ001979,SZ399965
信息技术,0020.HK,SZ0020.HK,SH000077
医药卫生,002001,SZ002001,SH000075
可选消费,002003,SZ002003,SH000073
原材料,002004,SZ002004,SH000071
可选消费,002005,SZ002005,SH000073
工业,002006,SZ002006,SH000072
医药卫生,002007,SZ002007,SH000075
工业,002008,SZ002008,SH000072
工业,002009,SZ002009,SH000072
工业,002010,SZ002010,SH000072
工业,002011,SZ002011,SH000072
原材料,002012,SZ002012,SH000071
原材料,002014,SZ002014,SH000071
公用事业,002015,SZ002015,SH000079
房地产,002016,SZ002016,SZ399965
通信服务,002017,SZ002017,SH000078
医药卫生,002019,SZ002019,SH000075
医药卫生,002020,SZ002020,SH000075
工业,002021,SZ002021,SH000072
医药卫生,002022,SZ002022,SH000075
工业,002023,SZ002023,SH000072
可选消费,002024,SZ002024,SH000073
工业,002025,SZ002025,SH000072
工业,002026,SZ002026,SH000072
通信服务,002027,SZ002027,SH000078
工业,002028,SZ002028,SH000072
可选消费,002029,SZ002029,SH000073
医药卫生,002030,SZ002030,SH000075
工业,002031,SZ002031,SH000072
可选消费,002032,SZ002032,SH000073
可选消费,002033,SZ002033,SH000073
工业,002034,SZ002034,SH000072
可选消费,002035,SZ002035,SH000073
信息技术,002036,SZ002036,SH000077
原材料,002037,SZ002037,SH000071
医药卫生,002038,SZ002038,SH000075
公用事业,002039,SZ002039,SH000079
工业,002040,SZ002040,SH000072
主要消费,002041,SZ002041,SH000074
可选消费,002042,SZ002042,SH000073
原材料,002043,SZ002043,SH000071
医药卫生,002044,SZ002044,SH000075
可选消费,002045,SZ002045,SH000073
工业,002046,SZ002046,SH000072
工业,002047,SZ002047,SH000072
可选消费,002048,SZ002048,SH000073
信息技术,002049,SZ002049,SH000077
可选消费,002050,SZ002050,SH000073
工业,002051,SZ002051,SH000072
通信服务,002052,SZ002052,SH000078
原材料,002053,SZ002053,SH000071
